start_region,step,nodes_removed,efficiency,components
Taenia tecta,6,7,0.7297317047708529,209
Taenia tecta,7,8,0.7279872231328542,209
Taenia tecta,8,9,0.7262151529252506,209
Taenia tecta,9,10,0.7244576440782611,209
Taenia tecta,10,11,0.7226722382942248,209
Dorsal peduncular area,1,2,0.7382064503083612,209
Dorsal peduncular area,2,3,0.7365336480739098,209
Dorsal peduncular area,3,4,0.7348550012288031,209
Dorsal peduncular area,4,5,0.7331498886965125,209
Dorsal peduncular area,5,6,0.7314593921792345,209
Dorsal peduncular area,6,7,0.7297317047708529,209
Dorsal peduncular area,7,8,0.7279872231328542,209
Dorsal peduncular area,8,9,0.7262151529252506,209
Dorsal peduncular area,9,10,0.7244576440782611,209
Dorsal peduncular area,10,11,0.7226722382942248,209
Piriform area,1,2,0.7382064503083612,209
Piriform area,2,3,0.7365336480739098,209
Piriform area,3,4,0.7348550012288031,209
Piriform area,4,5,0.7331498886965125,209
Piriform area,5,6,0.7314593921792345,209
Piriform area,6,7,0.7297317047708529,209
Piriform area,7,8,0.7279872231328542,209
Piriform area,8,9,0.7262151529252506,209
Piriform area,9,10,0.7244576440782611,209
Piriform area,10,11,0.7226722382942248,209
"Cortical amygdalar area, posterior part",1,2,0.7382064503083612,209
"Cortical amygdalar area, posterior part",2,3,0.7365336480739098,209
"Cortical amygdalar area, posterior part",3,4,0.7348550012288031,209
"Cortical amygdalar area, posterior part",4,5,0.7331498886965125,209
"Cortical amygdalar area, posterior part",5,6,0.7314593921792345,209
"Cortical amygdalar area, posterior part",6,7,0.7297317047708529,209
"Cortical amygdalar area, posterior part",7,8,0.7279872231328542,209
"Cortical amygdalar area, posterior part",8,9,0.7262151529252506,209
"Cortical amygdalar area, posterior part",9,10,0.7244576440782611,209
"Cortical amygdalar area, posterior part",10,11,0.7226722382942248,209
Field CA1,1,2,0.7382064503083612,209
Field CA1,2,3,0.7365336480739098,209
Field CA1,3,4,0.7348550012288031,209
Field CA1,4,5,0.7331498886965125,209
Field CA1,5,6,0.7314593921792345,209
Field CA1,6,7,0.7297317047708529,209
Field CA1,7,8,0.7279872231328542,209
Field CA1,8,9,0.7262151529252506,209
Field CA1,9,10,0.7244576440782611,209
Field CA1,10,11,0.7226722382942248,209
Field CA3,1,2,0.7382064503083612,209
Field CA3,2,3,0.7365336480739098,209
Field CA3,3,4,0.7348550012288031,209
Field CA3,4,5,0.7331498886965125,209
Field CA3,5,6,0.7314593921792345,209
Field CA3,6,7,0.7297317047708529,209
Field CA3,7,8,0.7279872231328542,209
Field CA3,8,9,0.7262151529252506,209
Field CA3,9,10,0.7244576440782611,209
Field CA3,10,11,0.7226722382942248,209
Dentate gyrus,1,2,0.7382064503083612,209
Dentate gyrus,2,3,0.7365336480739098,209
Dentate gyrus,3,4,0.7348550012288031,209
Dentate gyrus,4,5,0.7331498886965125,209
Dentate gyrus,5,6,0.7314593921792345,209
Dentate gyrus,6,7,0.7297317047708529,209
Dentate gyrus,7,8,0.7279872231328542,209
Dentate gyrus,8,9,0.7262151529252506,209
Dentate gyrus,9,10,0.7244576440782611,209
Dentate gyrus,10,11,0.7226722382942248,209
"Entorhinal area, lateral part",1,2,0.7382064503083612,209
"Entorhinal area, lateral part",2,3,0.7365336480739098,209
"Entorhinal area, lateral part",3,4,0.7348550012288031,209
"Entorhinal area, lateral part",4,5,0.7331498886965125,209
"Entorhinal area, lateral part",5,6,0.7314593921792345,209
"Entorhinal area, lateral part",6,7,0.7297317047708529,209
"Entorhinal area, lateral part",7,8,0.7279872231328542,209
"Entorhinal area, lateral part",8,9,0.7262151529252506,209
"Entorhinal area, lateral part",9,10,0.7244576440782611,209
"Entorhinal area, lateral part",10,11,0.7226722382942248,209
"Entorhinal area, medial part, dorsal zone",1,2,0.7382064503083612,209
"Entorhinal area, medial part, dorsal zone",2,3,0.7365336480739098,209
"Entorhinal area, medial part, dorsal zone",3,4,0.7348550012288031,209
"Entorhinal area, medial part, dorsal zone",4,5,0.7331498886965125,209
"Entorhinal area, medial part, dorsal zone",5,6,0.7314593921792345,209
"Entorhinal area, medial part, dorsal zone",6,7,0.7297317047708529,209
"Entorhinal area, medial part, dorsal zone",7,8,0.7279872231328542,209
"Entorhinal area, medial part, dorsal zone",8,9,0.7262151529252506,209
"Entorhinal area, medial part, dorsal zone",9,10,0.7244576440782611,209
"Entorhinal area, medial part, dorsal zone",10,11,0.7226722382942248,209
Subiculum,1,2,0.7382064503083612,209
Subiculum,2,3,0.7365336480739098,209
Subiculum,3,4,0.7348550012288031,209
Subiculum,4,5,0.7331498886965125,209
Subiculum,5,6,0.7314593921792345,209
Subiculum,6,7,0.7297317047708529,209
Subiculum,7,8,0.7279872231328542,209
Subiculum,8,9,0.7262151529252506,209
Subiculum,9,10,0.7244576440782611,209
Basomedial amygdalar nucleus,1,2,0.7382064503083612,209
Basomedial amygdalar nucleus,2,3,0.7365336480739098,209
Basomedial amygdalar nucleus,3,4,0.7348550012288031,209
Basomedial amygdalar nucleus,4,5,0.7331498886965125,209
Basomedial amygdalar nucleus,5,6,0.7314593921792345,209
Basomedial amygdalar nucleus,6,7,0.7297317047708529,209
Basomedial amygdalar nucleus,7,8,0.7279872231328542,209
Basomedial amygdalar nucleus,8,9,0.7262151529252506,209
Basomedial amygdalar nucleus,9,10,0.7244576440782611,209
Basomedial amygdalar nucleus,10,11,0.7226722382942248,209
Caudoputamen,1,2,0.7382064503083612,209
Caudoputamen,2,3,0.7365336480739098,209
Caudoputamen,3,4,0.7348550012288031,209
Caudoputamen,4,5,0.7331498886965125,209
Caudoputamen,5,6,0.7314593921792345,209
Caudoputamen,6,7,0.7297317047708529,209
Caudoputamen,7,8,0.7279872231328542,209
Caudoputamen,8,9,0.7262151529252506,209
Caudoputamen,9,10,0.7244576440782611,209
Caudoputamen,10,11,0.7226722382942248,209
Nucleus accumbens,1,2,0.7382064503083612,209
Nucleus accumbens,2,3,0.7365336480739098,209
Nucleus accumbens,3,4,0.7348550012288031,209
Nucleus accumbens,4,5,0.7331498886965125,209
Nucleus accumbens,5,6,0.7314593921792345,209
Nucleus accumbens,6,7,0.7297317047708529,209
Nucleus accumbens,7,8,0.7279872231328542,209
Nucleus accumbens,8,9,0.7262151529252506,209
Nucleus accumbens,9,10,0.7244576440782611,209
Nucleus accumbens,10,11,0.7226722382942248,209
Anterior amygdalar area,1,2,0.7382064503083612,209
Anterior amygdalar area,2,3,0.7365336480739098,209
Anterior amygdalar area,3,4,0.7348550012288031,209
Anterior amygdalar area,4,5,0.7331498886965125,209
Anterior amygdalar area,5,6,0.7314593921792345,209
Anterior amygdalar area,6,7,0.7297317047708529,209
Anterior amygdalar area,7,8,0.7279872231328542,209
Anterior amygdalar area,8,9,0.7262151529252506,209
Anterior amygdalar area,9,10,0.7244576440782611,209
Anterior amygdalar area,10,11,0.7226722382942248,209
Central amygdalar nucleus,1,2,0.7382064503083612,209
Central amygdalar nucleus,2,3,0.7365336480739098,209
Central amygdalar nucleus,3,4,0.7348550012288031,209
Central amygdalar nucleus,4,5,0.7331498886965125,209
Central amygdalar nucleus,5,6,0.7314593921792345,209
Central amygdalar nucleus,6,7,0.7297317047708529,209
Central amygdalar nucleus,7,8,0.7279872231328542,209
Central amygdalar nucleus,8,9,0.7262151529252506,209
Central amygdalar nucleus,9,10,0.7244576440782611,209
Central amygdalar nucleus,10,11,0.7226722382942248,209
Medial amygdalar nucleus,1,2,0.7382064503083612,209
Medial amygdalar nucleus,2,3,0.7365336480739098,209
Medial amygdalar nucleus,3,4,0.7348550012288031,209
Medial amygdalar nucleus,4,5,0.7331498886965125,209
Medial amygdalar nucleus,5,6,0.7314593921792345,209
Medial amygdalar nucleus,6,7,0.7297317047708529,209
Medial amygdalar nucleus,7,8,0.7279872231328542,209
Medial amygdalar nucleus,8,9,0.7262151529252506,209
Medial amygdalar nucleus,9,10,0.7244576440782611,209
Medial amygdalar nucleus,10,11,0.7226722382942248,209
Substantia innominata,1,2,0.7382064503083612,209
Substantia innominata,2,3,0.7365336480739098,209
Substantia innominata,3,4,0.7348550012288031,209
Substantia innominata,4,5,0.7331498886965125,209
Substantia innominata,5,6,0.7314593921792345,209
Substantia innominata,6,7,0.7297317047708529,209
Substantia innominata,7,8,0.7279872231328542,209
Substantia innominata,8,9,0.7262151529252506,209
Substantia innominata,9,10,0.7244576440782611,209
Substantia innominata,10,11,0.7226722382942248,209
Triangular nucleus of septum,1,2,0.7382064503083612,209
Triangular nucleus of septum,2,3,0.7365336480739098,209
Triangular nucleus of septum,3,4,0.7348550012288031,209
Triangular nucleus of septum,4,5,0.7331498886965125,209
Triangular nucleus of septum,5,6,0.7314593921792345,209
Triangular nucleus of septum,6,7,0.7297317047708529,209
Triangular nucleus of septum,7,8,0.7279872231328542,209
Triangular nucleus of septum,8,9,0.7262151529252506,209
Triangular nucleus of septum,9,10,0.7244576440782611,209
Triangular nucleus of septum,10,11,0.7226722382942248,209
Bed nuclei of the stria terminalis,1,2,0.7382064503083612,209
Bed nuclei of the stria terminalis,2,3,0.7365336480739098,209
Bed nuclei of the stria terminalis,3,4,0.7348550012288031,209
Bed nuclei of the stria terminalis,4,5,0.7331498886965125,209
Bed nuclei of the stria terminalis,5,6,0.7314593921792345,209
Bed nuclei of the stria terminalis,6,7,0.7297317047708529,209
Bed nuclei of the stria terminalis,7,8,0.7279872231328542,209
Bed nuclei of the stria terminalis,8,9,0.7262151529252506,209
Bed nuclei of the stria terminalis,9,10,0.7244576440782611,209
Bed nuclei of the stria terminalis,10,11,0.7226722382942248,209
Ventral medial nucleus of the thalamus,1,2,0.7382064503083612,209
Ventral medial nucleus of the thalamus,2,3,0.7365336480739098,209
Ventral medial nucleus of the thalamus,3,4,0.7348550012288031,209
Ventral medial nucleus of the thalamus,4,5,0.7331498886965125,209
Ventral medial nucleus of the thalamus,5,6,0.7314593921792345,209
Ventral medial nucleus of the thalamus,6,7,0.7297317047708529,209
Ventral medial nucleus of the thalamus,7,8,0.7279872231328542,209
Ventral medial nucleus of the thalamus,8,9,0.726246880155675,209
Ventral medial nucleus of the thalamus,9,10,0.7244789338102233,209
Ventral medial nucleus of the thalamus,10,11,0.7226722382942248,209
Medial geniculate complex,1,2,0.7382064503083612,209
Medial geniculate complex,2,3,0.7365336480739098,209
Medial geniculate complex,3,4,0.7348550012288031,209
Medial geniculate complex,4,5,0.7331498886965125,209
Medial geniculate complex,5,6,0.7314593921792345,209
Medial geniculate complex,6,7,0.7297317047708529,209
Medial geniculate complex,7,8,0.7279872231328542,209
Medial geniculate complex,8,9,0.7262151529252506,209
Medial geniculate complex,9,10,0.7244576440782611,209
Medial geniculate complex,10,11,0.7226722382942248,209
Dorsal part of the lateral geniculate complex,1,2,0.7382064503083612,209
Dorsal part of the lateral geniculate complex,2,3,0.7365336480739098,209
Dorsal part of the lateral geniculate complex,3,4,0.7348550012288031,209
Dorsal part of the lateral geniculate complex,4,5,0.7331498886965125,209
Dorsal part of the lateral geniculate complex,5,6,0.7314593921792345,209
Dorsal part of the lateral geniculate complex,6,7,0.7297317047708529,209
Dorsal part of the lateral geniculate complex,7,8,0.7279872231328542,209
Dorsal part of the lateral geniculate complex,8,9,0.726246880155675,209
Dorsal part of the lateral geniculate complex,9,10,0.7244789338102233,209
Dorsal part of the lateral geniculate complex,10,11,0.7227365263045109,209
Lateral posterior nucleus of the thalamus,1,2,0.7382064503083612,209
Lateral posterior nucleus of the thalamus,2,3,0.7365336480739098,209
Lateral posterior nucleus of the thalamus,3,4,0.7348550012288031,209
Lateral posterior nucleus of the thalamus,4,5,0.7331498886965125,209
Lateral posterior nucleus of the thalamus,5,6,0.7314593921792345,209
Lateral posterior nucleus of the thalamus,6,7,0.7297317047708529,209
Lateral posterior nucleus of the thalamus,7,8,0.7279872231328542,209
Lateral posterior nucleus of the thalamus,8,9,0.7262151529252506,209
Lateral posterior nucleus of the thalamus,9,10,0.7244576440782611,209
Lateral posterior nucleus of the thalamus,10,11,0.7226722382942248,209
Posterior complex of the thalamus,1,2,0.7382064503083612,209
Posterior complex of the thalamus,2,3,0.7365336480739098,209
Posterior complex of the thalamus,3,4,0.7348550012288031,209
Posterior complex of the thalamus,4,5,0.7331498886965125,209
Posterior complex of the thalamus,5,6,0.7314593921792345,209
Posterior complex of the thalamus,6,7,0.7297317047708529,209
Posterior complex of the thalamus,7,8,0.7279872231328542,209
Posterior complex of the thalamus,8,9,0.7262151529252506,209
Posterior complex of the thalamus,9,10,0.7244576440782611,209
Posterior complex of the thalamus,10,11,0.7226722382942248,209
Suprageniculate nucleus,1,2,0.7382064503083612,209
Suprageniculate nucleus,2,3,0.7365336480739098,209
Suprageniculate nucleus,3,4,0.7348550012288031,209
Suprageniculate nucleus,4,5,0.7331498886965125,209
Suprageniculate nucleus,5,6,0.7314593921792345,209
Suprageniculate nucleus,6,7,0.7297317047708529,209
Suprageniculate nucleus,7,8,0.7279872231328542,209
Suprageniculate nucleus,8,9,0.7262151529252506,209
Suprageniculate nucleus,9,10,0.7244576440782611,209
Suprageniculate nucleus,10,11,0.7226722382942248,209
Anteroventral nucleus of thalamus,1,2,0.7382064503083612,209
Anteroventral nucleus of thalamus,2,3,0.7365336480739098,209
Anteroventral nucleus of thalamus,3,4,0.7348550012288031,209
Anteroventral nucleus of thalamus,4,5,0.7331498886965125,209
Anteroventral nucleus of thalamus,5,6,0.7314593921792345,209
Anteroventral nucleus of thalamus,6,7,0.7297317047708529,209
Anteroventral nucleus of thalamus,7,8,0.7279872231328542,209
Anteroventral nucleus of thalamus,8,9,0.7262151529252506,209
Anteroventral nucleus of thalamus,9,10,0.7244576440782611,209
Anteroventral nucleus of thalamus,10,11,0.7226722382942248,209
Anteromedial nucleus,1,2,0.7382064503083612,209
Anteromedial nucleus,2,3,0.7365336480739098,209
Anteromedial nucleus,3,4,0.7348550012288031,209
Anteromedial nucleus,4,5,0.7331498886965125,209
Anteromedial nucleus,5,6,0.7314593921792345,209
Anteromedial nucleus,6,7,0.7297317047708529,209
Anteromedial nucleus,7,8,0.7279872231328542,209
Anteromedial nucleus,8,9,0.7262151529252506,209
Anteromedial nucleus,9,10,0.7244576440782611,209
Anteromedial nucleus,10,11,0.7226722382942248,209
Mediodorsal nucleus of thalamus,1,2,0.7382064503083612,209
Mediodorsal nucleus of thalamus,2,3,0.7365336480739098,209
Mediodorsal nucleus of thalamus,3,4,0.7348550012288031,209
Mediodorsal nucleus of thalamus,4,5,0.7331498886965125,209
Mediodorsal nucleus of thalamus,5,6,0.7314593921792345,209
Mediodorsal nucleus of thalamus,6,7,0.7297317047708529,209
Mediodorsal nucleus of thalamus,7,8,0.7279872231328542,209
Mediodorsal nucleus of thalamus,8,9,0.7262151529252506,209
Mediodorsal nucleus of thalamus,9,10,0.7244576440782611,209
Mediodorsal nucleus of thalamus,10,11,0.7226722382942248,209
Nucleus of reuniens,1,2,0.7382064503083612,209
Nucleus of reuniens,2,3,0.7365336480739098,209
Nucleus of reuniens,3,4,0.7348550012288031,209
Nucleus of reuniens,4,5,0.7331498886965125,209
Nucleus of reuniens,5,6,0.7314593921792345,209
Nucleus of reuniens,6,7,0.7297317047708529,209
Nucleus of reuniens,7,8,0.7279872231328542,209
Nucleus of reuniens,8,9,0.7262151529252506,209
Nucleus of reuniens,9,10,0.7244576440782611,209
Nucleus of reuniens,10,11,0.7226722382942248,209
Ventral part of the lateral geniculate complex,1,2,0.7382064503083612,209
Ventral part of the lateral geniculate complex,2,3,0.7365336480739098,209
Ventral part of the lateral geniculate complex,3,4,0.7348550012288031,209
Ventral part of the lateral geniculate complex,4,5,0.7331498886965125,209
Ventral part of the lateral geniculate complex,5,6,0.7314593921792345,209
Ventral part of the lateral geniculate complex,6,7,0.7297317047708529,209
Ventral part of the lateral geniculate complex,7,8,0.7279872231328542,209
Ventral part of the lateral geniculate complex,8,9,0.7262151529252506,209
Ventral part of the lateral geniculate complex,9,10,0.7244576440782611,209
Ventral part of the lateral geniculate complex,10,11,0.7226722382942248,209
Paraventricular hypothalamic nucleus,1,2,0.7382064503083612,209
Paraventricular hypothalamic nucleus,2,3,0.7365336480739098,209
Paraventricular hypothalamic nucleus,3,4,0.7348550012288031,209
Paraventricular hypothalamic nucleus,4,5,0.7331498886965125,209
Paraventricular hypothalamic nucleus,5,6,0.7314593921792345,209
Paraventricular hypothalamic nucleus,6,7,0.7297317047708529,209
Paraventricular hypothalamic nucleus,7,8,0.7279872231328542,209
Paraventricular hypothalamic nucleus,8,9,0.7262151529252506,209
Paraventricular hypothalamic nucleus,9,10,0.7244576440782611,209
Paraventricular hypothalamic nucleus,10,11,0.7226722382942248,209
Arcuate hypothalamic nucleus,1,2,0.7382064503083612,209
Arcuate hypothalamic nucleus,2,3,0.7365336480739098,209
Arcuate hypothalamic nucleus,3,4,0.7348550012288031,209
Arcuate hypothalamic nucleus,4,5,0.7331498886965125,209
Arcuate hypothalamic nucleus,5,6,0.7314593921792345,209
Arcuate hypothalamic nucleus,6,7,0.7297317047708529,209
Arcuate hypothalamic nucleus,7,8,0.7279872231328542,209
Arcuate hypothalamic nucleus,8,9,0.7262151529252506,209
Arcuate hypothalamic nucleus,9,10,0.7244576440782611,209
Arcuate hypothalamic nucleus,10,11,0.7226722382942248,209
Anterior hypothalamic nucleus,1,2,0.7382064503083612,209
Anterior hypothalamic nucleus,2,3,0.7365336480739098,209
Anterior hypothalamic nucleus,3,4,0.7348550012288031,209
Anterior hypothalamic nucleus,4,5,0.7331498886965125,209
Anterior hypothalamic nucleus,5,6,0.7314593921792345,209
Anterior hypothalamic nucleus,6,7,0.7297317047708529,209
Anterior hypothalamic nucleus,7,8,0.7279872231328542,209
Anterior hypothalamic nucleus,8,9,0.7262151529252506,209
Anterior hypothalamic nucleus,9,10,0.7244576440782611,209
Anterior hypothalamic nucleus,10,11,0.7226722382942248,209
"Tuberomammillary nucleus, ventral part",1,2,0.7382064503083612,209
"Tuberomammillary nucleus, ventral part",2,3,0.7365336480739098,209
"Tuberomammillary nucleus, ventral part",3,4,0.7348550012288031,209
Medial preoptic nucleus,1,2,0.7382064503083612,209
Medial preoptic nucleus,2,3,0.7365336480739098,209
Medial preoptic nucleus,3,4,0.7348550012288031,209
Medial preoptic nucleus,4,5,0.7331498886965125,209
Medial preoptic nucleus,5,6,0.7314593921792345,209
Medial preoptic nucleus,6,7,0.7297317047708529,209
Medial preoptic nucleus,7,8,0.7279872231328542,209
Medial preoptic nucleus,8,9,0.7262151529252506,209
Medial preoptic nucleus,9,10,0.7244576440782611,209
Medial preoptic nucleus,10,11,0.7226722382942248,209
Ventral premammillary nucleus,1,2,0.7382064503083612,209
Ventral premammillary nucleus,2,3,0.7365336480739098,209
Ventral premammillary nucleus,3,4,0.7348550012288031,209
Ventral premammillary nucleus,4,5,0.7331498886965125,209
Ventral premammillary nucleus,5,6,0.7314593921792345,209
